Time S;Temperature
0.02098;5.30219586
0.021;5.302189058
0.02102;5.302245255
0.02104;5.302313751
0.02106;5.302362903
0.02108;5.302412788
0.0211;5.302452857
0.02112;5.302503693
0.02114;5.302565809
0.02116;5.302618619
0.02118;5.302661613
0.0212;5.302704823
0.02122;5.302758283
0.02124;5.302790341
0.02126;5.302821064
0.02128;5.302850441
0.0213;5.302878463
0.02132;5.30290512
0.02134;5.302930401
0.02136;5.302954295
0.02138;5.302976794
0.0214;5.302997886
0.02142;5.303017562
0.02144;5.303035811
0.02146;5.303042584
0.02148;5.303037866
0.0215;5.303031675
0.02152;5.303034542
0.02154;5.303036413
0.02156;5.303026722
0.02158;5.303015487
0.0216;5.303002687
0.02162;5.302998854
0.02164;5.302983894
0.02166;5.302978888
0.02168;5.302963745
0.0217;5.302980134
0.02172;5.302987384
0.02174;5.302996035
0.02176;5.303016117
0.02178;5.30304711
0.0218;5.303078466
0.02182;5.303089082
0.02184;5.303130165
0.02186;5.303160543
0.02188;5.303190253
0.0219;5.303219295
0.02192;5.30324767
0.02194;5.303285416
0.02196;5.303321987
0.02198;5.303357389
0.022;5.303391627
0.02202;5.303424705
0.02204;5.303446591
0.02206;5.303467322
0.02208;5.303486387
0.0221;5.303503786
0.02212;5.303519519
0.02214;5.303533585
0.02216;5.303524371
0.02218;5.303543085
0.0222;5.303549577
0.02222;5.303554398
0.02224;5.303557547
0.02226;5.303528908
0.02228;5.303530235
0.0223;5.303509799
0.02232;5.30347865
0.02234;5.303447326
0.02236;5.303415811
0.02238;5.303394128
0.0224;5.303371717
0.02242;5.303338528
0.02244;5.303305097
0.02246;5.303271408
0.02248;5.303237447
0.0225;5.303203198
0.02252;5.303179197
0.02254;5.303155395
0.02256;5.303131781
0.02258;5.303098306
0.0226;5.303065507
0.02262;5.303033368
0.02264;5.303011912
0.02266;5.302990578
0.02268;5.302969356
0.0227;5.302948237
0.02272;5.302927209
0.02274;5.302906262
0.02276;5.302895426
0.02278;5.302884144
0.0228;5.302862372
0.02282;5.302851202
0.02284;5.30284059
0.02286;5.30284057
0.02288;5.302850629
0.0229;5.302850183
0.02292;5.302829705
0.02294;5.302810288
0.02296;5.30279192
0.02298;5.302774591
0.023;5.302758292
0.02302;5.302743012
0.02304;5.30272874
0.02306;5.302715468
0.02308;5.302703184
0.0231;5.302712468
0.02312;5.302712692
0.02314;5.302714401
0.02316;5.302707552
0.02318;5.302702684
0.0232;5.302699789
0.02322;5.302698855
0.02324;5.302699873
0.02326;5.302702833
0.02328;5.302707724
0.0233;5.302714536
0.02332;5.302712707
0.02334;5.302722813
0.02336;5.302724254
0.02338;5.302737603
0.0234;5.302742262
0.02342;5.302748252
0.02344;5.302765599
